After Indexing Keywords for,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineeringWe have:

Index	Keywords
66	Future	
67	Directions	
68	Document	
69	Springer	
70	Natural	
71	I	
72	am	
73	Computation	
74	language	
75	techniques	
76	example	
77	now	
78	Rights	
79	Data	
80	Doctoral	
81	EPSRC	
82	Partnership	
83	human	
84	Miguel	
85	Award	
86	Recent	
87	PEBL	
88	IRSG	
89	NAACL	
90	HLT	
91	19	
92	User	
93	Modeling	
94	Personalization	
95	WSDM	
96	Demos	
97	Scientific	
98	GamifIR	
99	JCDL	
100	KONVENS	
101	Reviewing	
102	Program	
103	Approaches	
104	HyTra	
105	Demo	
106	Review	
107	engines	
108	Ontologies	
109	book	
110	most	
111	recent	
112	natural	
113	NLP	
114	retrieval	
115	intelligent	
116	years	
117	extraction	
118	partially	
119	structured	
120	data	
121	major	
122	document	
123	articles	
124	BT	
125	look	
126	Current	
127	Projects	
128	ESRC	
129	Poesio	
130	builds	
131	Minority	
132	CDT	
133	Game	
134	email	
135	aimed	
136	Corpus	
137	collaboration	
138	some	
139	exciting	
140	Best	
141	demo	
142	it	
143	February	
144	Creating	
145	annotated	
146	SENSEI	
147	Read	
148	read	
149	developed	
150	methods	
151	browsing	
152	between	
153	communities	
154	chair	
155	Meetup	
156	organiser	
157	Resources	
158	SIRIP	
159	Consortium	
160	Text2Story	
161	Outstanding	
162	PC	
163	SwissText	
164	Games4NLP	
165	ICTIR	
166	Tutorials	
167	DIR	
168	18	
169	NewsIR	
170	ISWC	
171	WWW	
172	MultiLing	
173	MMM	
174	16	
175	CLEF	
176	Recommender	
177	Challenge	
178	NEWSREEL	
179	Steering	
180	14	
181	EACL	
182	Personalised	
183	Multilingual	
184	STAIRS	
185	Hypertext	
186	Missed	
187	Organising	
188	2007	
189	external	
190	supervisor	
191	Publications	
192	Book	
193	Interests	
194	17th	
195	21st	
196	September	
197	earlier	
198	events	
199	16th	
200	15th	
201	14th	
202	13th	
203	12th	
204	11th	
205	10th	
206	Check	
207	programme	
208	Reading	
209	My	
210	interests	
211	processing	
212	implementation	
213	real	
214	applications	
215	directory	
216	assistant	
217	going	
218	back	
219	quite	
220	few	
221	where	
222	issues	
223	played	
224	roles	
225	usable	
226	system	
227	developing	
228	allow	
229	conceptual	
230	collections	
231	utilization	
232	knowledge	
233	tasks	
234	type	
235	documents	
236	pages	
237	newspaper	
238	other	
239	forms	
240	vaguely	
241	For	
242	application	
243	had	
244	place	
245	mobile	
246	workforce	
247	log	
248	analysis	
249	Ongoing	
250	Collaboration	
251	five	
252	Large	
253	Grant	
254	Human	
255	Era	
256	Big	
257	underway	
258	Fox	
259	plays	
260	significant	
261	links	
262	Watch	
263	space	
264	Games	
265	IGGI	
266	55	
267	scholarships	
268	over	
269	8	
270	being	
271	funded	
272	supported	
273	60	
274	industrial	
275	partners	
276	To	
277	explore	
278	profiles	
279	involves	
280	York	
281	Queen	
282	Mary	
283	Goldsmiths	
284	College	
285	want	
286	know	
287	drop	
288	me	
289	three	
290	civilian	
291	monitoring	
292	violations	
293	Iraq	
294	Ceasefire	
295	Portal	
296	outcomes	
297	Violence	
298	Acts	
299	Arabic	
300	academic	
301	resource	
302	described	
303	detail	
304	paper	
305	highly	
306	successful	
307	was	
308	starting	
309	point	
310	ongoing	
311	Lead	
312	PI	
313	pleased	
314	Martinez	
315	Alvarez	
316	who	
317	Associate	
318	Here	
319	timeline	
320	named	
321	Leader	
322	Tomorrow	
323	video	
324	portrait	
325	coverage	
326	event	
327	main	
328	actors	
329	April	
330	award	
331	even	
332	just	
333	announced	
334	raised	
335	1.8m	
336	growth	
337	capital	
338	tier	
339	investors	
340	see	
341	Techcrunch	
342	wins	
343	features	
344	InnovateUK	
345	home	
346	page	
347	again	
348	Another	
349	landmark	
350	closes	
351	16m	
352	Series	
353	B	
354	December	
355	confirmed	
356	start	
357	January	
358	anaphorically	
359	through	
360	semantic	
361	wikis	
362	AnaWiki	
363	Phrase	
364	Detectives	
365	annotation	
366	game	
367	creation	
368	semantically	
369	corpora	
370	DALI	
371	findings	
372	lessons	
373	learned	
374	PhraseDetectives	
375	FP7	
376	started	
377	finished	
378	line	
379	aim	
380	make	
381	sense	
382	conversation	
383	applying	
384	advanced	
385	anaphora	
386	resolution	
387	multi	
388	summarization	
389	predict	
390	Brexit	
391	results	
392	if	
393	prefer	
394	Polish	
395	Automatic	
396	Adaptation	
397	Structures	
398	Assisted	
399	Seeking	
400	AutoAdapt	
401	Robert	
402	Gordon	
403	Aberdeen	
404	evaluated	
405	adapting	
406	automatically	
407	constructed	
408	domain	
409	population	
410	users	
411	Application	
412	large	
413	scale	
414	evaluation	
415	two	
416	seeking	
417	scenarios	
418	namely	
419	interactive	
420	focus	
421	follows	
422	Patient	
423	Engagement	
424	Blogs	
425	result	
426	automated	
427	interface	
428	clinical	
429	commissioner	
430	groups	
431	CCGs	
432	they	
433	serve	
434	framework	
435	JobServe	
436	world	
437	first	
438	Internet	
439	Recruitment	
440	Service	
441	mail	
442	server	
443	Active	
444	AWS	
445	Ipswich	
446	company	
447	devoted	
448	cutting	
449	edge	
450	enterprise	
451	Learning	
452	Disabilities	
453	Infrastructure	
454	Markup	
455	Based	
456	Enquiry	
457	Involvements	
458	Panel	
459	Karen	
460	Sp	
461	rck	
462	Jones	
463	call	
464	Winter	
465	newsletter	
466	Text	
467	Analytics	
468	Area	
469	Evaluation	
470	workshops	
471	UISTDA	
472	LDK	
473	EMNLP	
474	Professional	
475	ProfS2018	
476	HCOMP	
477	Sponsorship	
478	Keynote	
479	tutorials	
480	Reviewer	
481	Mindtrek	
482	Design	
483	Worksop	
484	Papers	
485	Accessing	
486	Cultural	
487	Heritage	
488	Scale	
489	Advances	
490	ACHS	
491	Panellist	
492	Symposium	
493	Practice	
494	Beyond	
495	single	
496	shot	
497	text	
498	queries	
499	bridging	
500	gap	
501	MindTheGap	
502	iConference	
503	UMAP	
504	Paper	
505	BARS	
506	ENRICH	
507	IJCNLP	
508	Presentations	
509	Over	
510	Query	
511	Sessions	
512	SIR2012	
513	Joint	
514	Machine	
515	Cross	
516	Disconnected	
517	Languages	
518	Styles	
519	Content	
520	Analysis	
521	Invited	
522	Panelist	
523	Session	
524	PMHR	
525	article	
526	ITNow	
527	conference	
528	report	
529	Forum	
530	ECAI	
531	MinUCS	
532	NODALIDA	
533	Special	
534	Issue	
535	Journal	
536	Of	
537	Interactive	
538	QA	
539	Guest	
540	Editorial	
541	Profiling	
542	located	
543	Interaction	
544	Context	
545	ECML	
546	PKDD	
547	High	
548	level	
549	Flatlands	
550	organised	
551	Demonstration	
552	Teaching	
553	CE306	
554	CE706	
555	Deirdre	
556	Lungley	
557	Mahmoud	
558	El	
559	Haj	
560	M	
561	Dyaa	
562	Albakour	
563	Suma	
564	Adindla	
565	Sharhida	
566	Saad	
567	Azhar	
568	Alhindi	
569	Jon	
570	Chamberlain	
571	Roseline	
572	Antai	
573	Fawaz	
574	Alarfaj	
575	Maha	
576	Althobaiti	
577	Silviu	
578	Paun	
579	Ans	
580	Alghamdi	
581	Passed	
582	corrections	
583	David	
584	Gundry	
585	Rob	
586	Homewood	
587	Chris	
588	Madge	
589	Dino	
590	Ratcliffe	
591	Steve	
592	Zimmerman	
593	Selected	
594	Foundation	
595	Trends	
596	Searching	
597	Enterprise	
598	Martin	
599	White	
600	IntranetFocus	
601	Informer	
602	Newsletter	
603	BCS	
604	Computing	
605	Reviews	
606	tel	
607	872669	
608	fax	
609	872788	
610	udo	
611	1997	
612	last	
613	change	
After Indexing Phrases for,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineeringWe have:

Index	Phrases
1	Programme Committee	
2	2018 Programme	
3	Co Organiser	
4	Co Chair	
5	2017 Programme	
6	Workshop on	
7	Information Retrieval	
8	2019 Programme	
9	Committee Search	
10	Search Solutions	
11	2015 Programme	
12	2013 Programme	
13	to find	
14	and research	
15	. Our	
16	LAC Day	
17	Committee ECIR	
18	2016 Programme	
19	at ECIR	
20	short papers	
21	workshop at	
22	computer science	
23	Undergraduate study	
24	Masters study	
25	research degrees	
26	and CPD	
27	International students	
28	Colchester Campus	
29	Find a	
30	a course	
31	Unable to	
32	find any	
33	any suggestions	
34	suggestions for	
35	for your	
36	your query	
37	query ...	
38	and facilities	
39	Organiser SIGIR	
40	2014 Programme	
41	2012 Programme	
42	2011 Programme	
43	2010 Programme	
44	KTP project	
45	Industry Day	
46	Committee full	
47	Senior Programme	
48	Committee SIGIR	
49	Committee IEEE	
50	IEEE WIC	
51	WIC ACM	
52	ACM International	
53	International Conference	
54	Conference on	
55	on Web	
56	Web Intelligence	
57	IRF Conference	
58	Information Access	
59	in Information	
60	2009 Programme	
61	a variety	
62	variety of	
63	electronic engineering	
64	engineering computer	
65	study Masters	
66	study Postgraduate	
67	Postgraduate research	
68	degrees Short	
69	Short courses	
70	courses and	
71	CPD International	
72	students Study	
73	Study abroad	
74	Study online	
75	Essex living	
76	living Essex	
77	Essex Sport	
78	Sport Colchester	
79	Campus Southend	
80	Southend Campus	
81	Campus Loughton	
82	Loughton Campus	
83	Campus Student	
84	Student facilities	
85	facilities Student	
86	Student services	
87	Research excellence	
88	excellence Research	
89	Research showcase	
90	showcase Media	
91	Media requests	
92	requests Research	
93	Research Excellence	
94	Excellence Framework	
95	Framework REF	
96	REF Research	
97	Research institutes	
98	institutes and	
99	and centres	
100	Expertise for	
101	for business	
102	students and	
103	About us	
104	Contact us	
105	Students Alumni	
106	Alumni Staff	
107	courses by	
108	by subject	
109	cookie policy	
110	. View	
111	and funding	
112	as well	
113	well as	
114	and a	
115	facilities .	
116	. We	
117	We have	
118	our School	
119	of specialist	
120	our courses	
121	labs and	
122	for the	
123	to help	
124	Feb 2019	
125	you would	
126	would like	
127	a question	
128	Udo Kruschwitz	
129	The Udo	
130	and the	
131	involving the	
132	papers demos	
133	Committee ACL	
134	Committee RANLP	
135	Committee IRF	
136	Committee Future	
137	Future Directions	
138	Directions in	
139	Access FDIA	
140	Knowledge Extraction	
141	Research Information	
142	Intelligent Document	
143	Document Retrieval	
144	Natural Language	
145	Language Engineering	
146	I am	
147	Language and	
148	and Computation	
149	Computation Group	
150	is a	
151	ECIR 2015	
152	project involving	
153	the School	
154	ECIR 2019	
155	Industry Track	
156	Committee CHIIR	
157	Committee User	
158	User Modeling	
159	Modeling Personalization	
160	Personalization Experience	
161	Experience Track	
162	Programme Co	
163	Committee CIKM	
164	ECIR 2018	
165	Committee LREC	
166	Scientific Committee	
167	full short	
168	2016 Co	
169	Gamification for	
170	for Information	
171	Retrieval GamifIR	
172	Reviewing Board	
173	Committee ESWC	
174	Committee IR	
175	Student Program	
176	Program Programme	
177	on Hybrid	
178	Hybrid Approaches	
179	Approaches to	
180	to Translation	
181	Translation HyTra	
182	HyTra Programme	
183	2014 Co	
184	Demo Co	
185	SIGIR 2013	
186	Workshop Programme	
187	ECIR 2012	
188	2008 Programme	
189	Review by	
190	We offer	
191	offer a	
192	of degrees	
193	degrees in	
194	in computer	
195	science and	
196	and electronic	
197	engineering from	
198	from computer	
199	computer games	
200	games and	
201	and robotics	
202	robotics to	
203	to communications	
204	communications engineering	
205	science electronic	
206	science uk	
207	uk electrical	
208	electrical engineering	
209	engineering courses	
210	courses School	
211	Engineering University	
212	Essex We	
213	We Are	
214	Are Essex	
215	Essex Study	
216	Study Subject	
217	Subject areas	
218	areas Undergraduate	
219	abroad Study	
220	online Life	
221	Life Essex	
222	services New	
223	New students	
224	students Welcome	
225	Welcome to	
226	to Essex	
227	Essex Before	
228	Before you	
229	you arrive	
230	arrive Information	
231	Information for	
232	for families	
233	families International	
234	students Research	
235	Research Research	
236	centres Business	
237	Business Expertise	
238	business Knowledge	
239	Knowledge Gateway	
240	Gateway Facilities	
241	Facilities Recruit	
242	Recruit our	
243	and graduates	
244	graduates Training	
245	Training Apprenticeships	
246	Apprenticeships and	
247	CPD Find	
248	course About	
249	us Open	
250	Open Days	
251	Days and	
252	and Campus	
253	Campus Tours	
254	Tours Departments	
255	Departments News	
256	News Events	
257	Events Sustainability	
258	Sustainability Global	
259	Global Essex	
260	Essex Contact	
261	us Jobs	
262	Jobs Students	
263	Staff Public	
264	Public Information	
265	Information Directory	
266	Directory Find	
267	course Site	
268	Site search	
269	search People	
270	People search	
271	search Select	
272	Select Level	
273	Level Undergraduate	
274	Undergraduate Postgraduate	
275	Postgraduate Unable	
276	... Browse	
277	Browse courses	
278	subject Search	
279	Search research	
280	degrees Unable	
281	... Unable	
282	... This	
283	This site	
284	site uses	
285	uses cookies	
286	cookies .	
287	. By	
288	By continuing	
289	continuing to	
290	to browse	
291	browse the	
292	the site	
293	site you	
294	you are	
295	are consenting	
296	consenting to	
297	to their	
298	their use	
299	use .	
300	. Please	
301	Please visit	
302	visit our	
303	our cookie	
304	policy to	
305	out which	
306	which cookies	
307	cookies we	
308	we use	
309	use and	
310	and why	
311	why .	
312	View cookie	
313	policy .	
314	. Departments	
315	Departments Computer	
316	Engineering School	
317	School Computer	
318	Engineering Departments	
319	Departments School	
320	Engineering Undergraduate	
321	Undergraduate Masters	
322	Masters Research	
323	Research Degrees	
324	Degrees Careers	
325	Careers Accreditation	
326	Accreditation Research	
327	Research Scholarships	
328	Scholarships and	
329	funding Facilities	
330	Facilities Equality	
331	Equality and	
332	and inclusion	
333	inclusion Working	
334	Working with	
335	with Business	
336	Business People	
337	People Events	
338	Events News	
339	News Creative	
340	Creative committed	
341	committed experimental	
342	experimental From	
343	From making	
344	making businesses	
345	businesses run	
346	run smoothly	
347	smoothly to	
348	to gaming	
349	gaming and	
350	and simulating	
